,iauname,png_loc,input_text,target
16,J002905.51+020116.8,dr5/J002/J002905.51+020116.8.png,has features or disk | has an edge-on disk | not merging | no central bulge,"This galaxy has an edge-on disk but no central bulge, and its image has features that suggest it is not merging with another galaxy."
17,J002445.21-011204.1,dr5/J002/J002445.21-011204.1.png,smooth | elliptical | not merging,An image of an elliptical galaxy that appears smooth and is not merging.
18,J104848.64+184021.6,dr5/J104/J104848.64+184021.6.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | loose spiral winding | more than four spiral arms | no spiral arms | small central bulge,"A galaxy image that does not have an edge-on disk, is not merging, has no bar, and has more than four spiral arms with tight spiral winding and small central bulge, or has no spiral arms and large central bulge, is distinct from other galaxies."
19,J005520.42-004019.9,dr5/J005/J005520.42-004019.9.png,smooth | round,"A smooth, round galaxy image shimmers in the night sky."
20,J140036.89+021156.4,dr5/J140/J140036.89+021156.4.png,smooth | round | not merging,The smooth and round galaxy image does not appear to be merging.
21,J123518.51+095726.7,dr5/J123/J123518.51+095726.7.png,smooth | elliptical,An image of an elliptical galaxy appeared smooth and majestic.
22,J092423.39+045127.5,dr5/J092/J092423.39+045127.5.png,smooth | elliptical | not merging,"A smooth elliptical galaxy is seen in the image, not merging."
23,J094002.89+144816.3,dr5/J094/J094002.89+144816.3.png,smooth | cigar-shaped | merging with minor disturbance,"Two cigar-shaped galaxies were merging with minor disturbance, creating a smooth and beautiful image of the night sky."
24,J161711.37+190404.0,dr5/J161/J161711.37+190404.0.png,has features or disk | does not have an edge-on disk | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"This image of a galaxy has features including a disk that does not have an edge-on orientation, two spiral arms with a medium spiral winding, and a small central bulge."
25,J004311.82+151602.1,dr5/J004/J004311.82+151602.1.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
26,J145144.92-011208.3,dr5/J145/J145144.92-011208.3.png,smooth | round,"The image of a smooth, round galaxy was breathtaking."
27,J134221.52+030600.3,dr5/J134/J134221.52+030600.3.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | small central bulge,"This galaxy image has spiral arms and a small central bulge, and does not have an edge-on disk, a bar, or any signs of merging, indicating that it is not an advanced stage of interaction."
28,J160430.07+302201.3,dr5/J160/J160430.07+302201.3.png,smooth | elliptical | merging with minor disturbance,An image of a smooth elliptical galaxy merging with a minor disturbance is captivating.
29,J154611.85+183920.6,dr5/J154/J154611.85+183920.6.png,smooth | elliptical | not merging,An elliptical galaxy in a smooth image is not merging.
30,J105147.92+115901.7,dr5/J105/J105147.92+115901.7.png,smooth | elliptical,An elliptical galaxy appears smooth and majestic in the image.
31,J154505.17+152241.9,dr5/J154/J154505.17+152241.9.png,has features or disk | does not have an edge-on disk | not merging | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"This galaxy has two spiral arms with a medium spiral winding, a small central bulge, and features such as a disk, but does not have an edge-on disk or appear to be merging."
32,J123159.97-023051.4,dr5/J123/J123159.97-023051.4.png,smooth | elliptical | not merging,"An image of an elliptical galaxy is smooth, not merging."
33,J093612.36+273050.7,dr5/J093/J093612.36+273050.7.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with another.
34,J210614.05+000552.0,dr5/J210/J210614.05+000552.0.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | two spiral arms | small central bulge,"This galaxy image has features such as two spiral arms and a small central bulge but does not have an edge-on disk, revealing that it is not merging or have a bar."
35,J113545.80-024549.6,dr5/J113/J113545.80-024549.6.png,has features or disk | does not have an edge-on disk | has spiral arms | loose spiral winding | two spiral arms | small central bulge,"The galaxy image has features of a disk with two spiral arms, a loose spiral winding, and a small central bulge, but does not have an edge-on disk."
36,J023210.94-000921.9,dr5/J023/J023210.94-000921.9.png,has features or disk | does not have an edge-on disk | merging with major disturbance | no bar | does not have spiral arms,"This galaxy has features of a disk, but does not have an edge-on disk and no bar. It is merging with a major disturbance, and does not have any spiral arms in the image."
37,J144648.38+253815.5,dr5/J144/J144648.38+253815.5.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | medium spiral winding | two spiral arms | small central bulge | moderate central bulge,"This galaxy has two spiral arms with medium spiral winding, a small to moderate central bulge, features of a disk, but no edge-on disk or bar, and is not merging with another galaxy."
38,J125241.13+063935.0,dr5/J125/J125241.13+063935.0.png,smooth | elliptical | not merging,"The galaxy in the image appeared to be a smooth, elliptical one, not merging."
39,J080750.86+261729.4,dr5/J080/J080750.86+261729.4.png,smooth | elliptical,An image of an elliptical galaxy appears smooth and serene.
40,J094727.16+200530.1,dr5/J094/J094727.16+200530.1.png,smooth | round | elliptical | not merging,"An elliptical galaxy appeared smooth and round in the image, not merging with any other galaxies."
41,J105416.48+142434.6,dr5/J105/J105416.48+142434.6.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | two spiral arms | moderate central bulge,"This galaxy has two spiral arms, a moderate central bulge, and weak bar features, as indicated by its image; however, it does not have an edge-on disk and is not merging."
42,J140358.36-014755.9,dr5/J140/J140358.36-014755.9.png,smooth | round | not merging,An image of a smooth and round galaxy is not merging.
43,J105852.27+133255.3,dr5/J105/J105852.27+133255.3.png,smooth | has features or disk | elliptical | not merging,"Even though an elliptical galaxy does not have features of merging, its smooth image still has a disk."
44,J131346.46+064702.3,dr5/J131/J131346.46+064702.3.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | small central bulge,"This galaxy has features of a disk, with tight spiral arms winding around a small central bulge, but it does not have an edge-on disk or any signs of merging, nor does it have a bar present."
45,J095755.71+112343.2,dr5/J095/J095755.71+112343.2.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | no spiral arms | small central bulge,"This galaxy image has features such as a disk that does not have an edge-on view and no bar, but it may have spiral arms or a small central bulge."
46,J105734.29+004232.9,dr5/J105/J105734.29+004232.9.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy, which has an image featuring an edge-on disk with features and a rounded central bulge, is not merging."
47,J211835.74+110139.9,dr5/J211/J211835.74+110139.9.png,smooth | elliptical | not merging,"An image of a smooth elliptical galaxy, not merging, was captured."
48,J011832.92+010930.8,dr5/J011/J011832.92+010930.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | does not have spiral arms | large central bulge,"This galaxy has a large central bulge and features such as a disk, but does not have an edge-on disk, merging elements, a bar, or spiral arms."
49,J124728.76-013208.2,dr5/J124/J124728.76-013208.2.png,has features or disk | has an edge-on disk | rounded central bulge,An image of a galaxy typically has features such as an edge-on disk and a rounded central bulge.
50,J124948.88-014451.8,dr5/J124/J124948.88-014451.8.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
51,J141933.55+050757.5,dr5/J141/J141933.55+050757.5.png,smooth | elliptical | not merging,An image of an elliptical galaxy that appears smooth and is not merging.
52,J123553.07+105305.2,dr5/J123/J123553.07+105305.2.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
53,J114840.14-021637.1,dr5/J114/J114840.14-021637.1.png,has features or disk | does not have an edge-on disk | no bar | does not have spiral arms | moderate central bulge,"This galaxy image does not have an edge-on disk, no bar, or spiral arms and has a moderate central bulge."
54,J141814.54+260712.0,dr5/J141/J141814.54+260712.0.png,has features or disk | has an edge-on disk | not merging | rounded central bulge | boxy central bulge,"The galaxy image has features such as an edge-on disk, a rounded central bulge, and a boxy central bulge, indicating that it is not a merging galaxy."
55,J085529.39+140827.5,dr5/J085/J085529.39+140827.5.png,has features or disk | does not have an edge-on disk | not merging | no bar | weak bar | does not have spiral arms,"This galaxy image has features such as a disk but does not have an edge-on disk, is not merging, has no bar, or a weak bar, and does not have spiral arms."
56,J225759.79-005519.6,dr5/J225/J225759.79-005519.6.png,smooth | round | not merging,"The image of the round, smooth galaxy was not merging."
57,J150602.07+092035.3,dr5/J150/J150602.07+092035.3.png,smooth | elliptical | not merging,An image of an elliptical galaxy appears smooth and is not merging.
58,J143036.18+012516.6,dr5/J143/J143036.18+012516.6.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with another image.
59,J001917.70+005807.2,dr5/J001/J001917.70+005807.2.png,smooth | has features or disk | cigar-shaped | merging with minor disturbance,"A beautiful, smooth galaxy image has a cigar-shaped disk with features merging with only minor disturbance."
60,J104944.95+182614.0,dr5/J104/J104944.95+182614.0.png,has features or disk | does not have an edge-on disk | weak bar | has spiral arms | medium spiral winding | two spiral arms | no central bulge,"The galaxy image has weak spiral arms with medium winding and two spiral arms, but does not have an edge-on disk or a central bulge."
61,J150919.90+091128.9,dr5/J150/J150919.90+091128.9.png,smooth | has features or disk | cigar-shaped | not merging,"The galaxy has a smooth, cigar-shaped image, with features that are not merging."
62,J132300.94+002049.2,dr5/J132/J132300.94+002049.2.png,smooth | elliptical | not merging,"The smooth, elliptical galaxy was captured in an image and showed no signs of merging."
63,J010937.23-002238.7,dr5/J010/J010937.23-002238.7.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
64,J114315.89+095305.7,dr5/J114/J114315.89+095305.7.png,smooth | elliptical | not merging,An image of an elliptical galaxy revealed it was smooth and not merging.
65,J093953.68+110214.3,dr5/J093/J093953.68+110214.3.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | weak bar | does not have spiral arms | small central bulge,"A galaxy image has features of a disk which does not have an edge-on disk, suggesting that the galaxy is merging with minor disturbances in the form of a weak bar and without spiral arms, and has a small central bulge."
66,J102637.39+012727.7,dr5/J102/J102637.39+012727.7.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and isn't merging with any other galaxy.
67,J000243.81-044517.0,dr5/J000/J000243.81-044517.0.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | one spiral arm | small central bulge,"This galaxy has a spiral structure with tight winding arms, but no bar or merging features, and a small central bulge. It does not have an edge-on disk and only one spiral arm is visible in the image."
68,J112044.40+083847.7,dr5/J112/J112044.40+083847.7.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
69,J080806.12+145015.8,dr5/J080/J080806.12+145015.8.png,has features or disk | has an edge-on disk | merging with minor disturbance | rounded central bulge,A stunning image of a galaxy merging with a minor disturbance shows a rounded central bulge and an edge-on disk that has features of spiral arms.
70,J003529.17+005522.7,dr5/J003/J003529.17+005522.7.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | does not have spiral arms | medium spiral winding | loose spiral winding | two spiral arms | moderate central bulge,"This galaxy image has features such as no edge-on disk, not merging, no bar, and two spiral arms with medium tightness and moderate central bulge but does not have spiral arms with loose winding."
71,J103140.98-003337.6,dr5/J103/J103140.98-003337.6.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | tight spiral winding,"The galaxy image has features of a disk, but does not have an edge-on disk or a bar, and has spiral arms with a relatively tight spiral winding."
72,J103041.40+320141.7,dr5/J103/J103041.40+320141.7.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | tight spiral winding | two spiral arms | moderate central bulge,"This galaxy has two tight spiral arms, a moderate central bulge and weak bar, as well as features such as a disk but not an edge-on disk, and is not merging. Therefore, it has the characteristics of a spiral galaxy with moderate winding."
73,J093040.41+075158.7,dr5/J093/J093040.41+075158.7.png,smooth | round | not merging,"The image of a smooth, round galaxy was not merging."
74,J122240.81+103953.1,dr5/J122/J122240.81+103953.1.png,smooth | round | not merging,"The smooth, round galaxy image was not merging."
75,J080817.67+094510.6,dr5/J080/J080817.67+094510.6.png,artifact,An image of a distant galaxy was mysteriously imprinted as an artifact.
76,J090616.41+030528.1,dr5/J090/J090616.41+030528.1.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | small central bulge,"This galaxy has spiral arms and a small central bulge, but no bar or edge-on disk, indicating that it is not merging or undergoing any other major disturbance. The image of the galaxy also does not suggest any features beyond these."
77,J132029.46+014451.4,dr5/J132/J132029.46+014451.4.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | small central bulge,"The image of the galaxy has spiral arms and a small central bulge, but does not have an edge-on disk or a bar, and is not merging, so it is not a merging galaxy."
78,J075841.92+225446.7,dr5/J075/J075841.92+225446.7.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
79,J081846.28+081741.9,dr5/J081/J081846.28+081741.9.png,smooth | round | not merging,"The image of the smooth, round galaxy was not merging."
80,J104842.12+085119.1,dr5/J104/J104842.12+085119.1.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | medium spiral winding | no spiral arms | small central bulge,"This galaxy image shows that it does not have an edge-on disk and it is not merging, but it has weak spiral arms with medium winding and a small central bulge, but no spiral arms."
81,J233103.40-021350.0,dr5/J233/J233103.40-021350.0.png,has features or disk | has an edge-on disk | not merging,The galaxy image has features indicating an edge-on disk and does not appear to be merging.
82,J105408.03+033106.2,dr5/J105/J105408.03+033106.2.png,has features or disk | does not have an edge-on disk | has spiral arms | two spiral arms | moderate central bulge,"This galaxy image has spiral arms, two of them, as well as a moderate central bulge, but does not have an edge-on disk."
83,J101914.99-032044.0,dr5/J101/J101914.99-032044.0.png,has features or disk | does not have an edge-on disk | merging with major disturbance | no bar | strong bar | does not have spiral arms | no central bulge,"A galaxy image with no central bulge, no bar, and no spiral arms that has a disk but does not have an edge-on disk and is merging with a major disturbance, but does not have a strong bar, has features but not all of them."
84,J020255.02-075742.2,dr5/J020/J020255.02-075742.2.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | not merging | no bar | has spiral arms | does not have spiral arms | medium spiral winding | loose spiral winding | two spiral arms | no spiral arms | small central bulge,"The galaxy image has features such as a disk that does not have an edge-on view and a small central bulge, but it is not merging with any other object and does not have a bar. Additionally, it does not have spiral arms, however, if it did, it would have medium to loose winding spiral arms with only two spiral arms present."
85,J145147.30-071356.9,dr5/J145/J145147.30-071356.9.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | tight spiral winding | no spiral arms | moderate central bulge,"The galaxy image has weak spiral arms with tight winding, a moderate central bulge and no edge-on disk, suggesting that the galaxy is not merging or experiencing a bar instability, but rather has features of an isolated, non-merging galaxy."
86,J110709.25+203802.7,dr5/J110/J110709.25+203802.7.png,has features or disk | does not have an edge-on disk | weak bar | has spiral arms | moderate central bulge,"This galaxy has features of a disk, weak bar, spiral arms and a moderate central bulge, but does not have an edge-on disk, as seen in the image."
87,J121503.91+124138.8,dr5/J121/J121503.91+124138.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | loose spiral winding | two spiral arms | moderate central bulge,"This galaxy image has features of a disk and two spiral arms with a moderate central bulge and loose spiral winding, but does not have an edge-on disk or a bar, and does not appear to be merging."
88,J084015.12+115331.4,dr5/J084/J084015.12+115331.4.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
89,J230854.69+131810.9,dr5/J230/J230854.69+131810.9.png,smooth | round | not merging,"The smooth, round galaxy image was not merging."
90,J140643.90-023625.0,dr5/J140/J140643.90-023625.0.png,smooth | round | not merging,This smooth round galaxy image does not appear to be merging.
91,J110651.49+324103.2,dr5/J110/J110651.49+324103.2.png,smooth | cigar-shaped | not merging,"The galaxy was an image of smooth, cigar-shaped clouds not merging."
92,J150923.34+054338.7,dr5/J150/J150923.34+054338.7.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy image has features of an edge-on disk, and a rounded central bulge, but it is not merging."
93,J135926.50+080752.7,dr5/J135/J135926.50+080752.7.png,smooth | elliptical | not merging,This image of an elliptical galaxy is smooth and not merging.
94,J102733.39+095413.6,dr5/J102/J102733.39+095413.6.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | medium spiral winding | three spiral arms | moderate central bulge,"This galaxy has three well-defined spiral arms with moderate winding and a medium-sized central bulge, but no evidence of an edge-on disk or merging activity. Additionally, it has weak bar-like features in its image."
95,J130113.87+110357.6,dr5/J130/J130113.87+110357.6.png,smooth | elliptical | not merging,An image of a smooth elliptical galaxy showed that it was not merging.
96,J152110.52+321922.3,dr5/J152/J152110.52+321922.3.png,artifact,Scientists have discovered a stunning galaxy image with an artifact that has been long lost.
97,J120338.94+034834.4,dr5/J120/J120338.94+034834.4.png,smooth | cigar-shaped | not merging,"The image of the galaxy was smooth and cigar-shaped, not merging."
98,J122644.00+105417.0,dr5/J122/J122644.00+105417.0.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
99,J024633.33-080714.9,dr5/J024/J024633.33-080714.9.png,smooth | elliptical,An image of an elliptical smooth galaxy is breathtaking.
100,J013703.28+010809.1,dr5/J013/J013703.28+010809.1.png,smooth | elliptical | not merging,The image of the smooth elliptical galaxy was not merging.
101,J160547.28+315053.4,dr5/J160/J160547.28+315053.4.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with another image.
102,J091245.31+292517.8,dr5/J091/J091245.31+292517.8.png,smooth | elliptical | not merging,This image of an elliptical galaxy appears smooth and not merging.
103,J140054.26-010943.8,dr5/J140/J140054.26-010943.8.png,smooth | elliptical | not merging,"An elliptical galaxy appears smooth in the image, not merging with another."
104,J150433.72+081737.4,dr5/J150/J150433.72+081737.4.png,has features or disk | does not have an edge-on disk | not merging | has spiral arms | tight spiral winding | two spiral arms | moderate central bulge,"This galaxy image has features of a tight spiral winding with two spiral arms and a moderate central bulge, but does not have an edge-on disk and is not merging."
105,J114138.13-011551.9,dr5/J114/J114138.13-011551.9.png,smooth | has features or disk | elliptical,An elliptical galaxy has a smooth image with features such as a disk.
106,J091142.27+150300.9,dr5/J091/J091142.27+150300.9.png,smooth | elliptical | not merging,"An elliptical galaxy is smooth and not merging, as seen in the image."
107,J123622.19+005000.3,dr5/J123/J123622.19+005000.3.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
108,J120138.09+125430.8,dr5/J120/J120138.09+125430.8.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy has an edge-on disk and a rounded central bulge, but it is not merging and its image has distinct features that can be seen."
109,J123254.95-002021.1,dr5/J123/J123254.95-002021.1.png,smooth | elliptical | not merging,"The image of the elliptical galaxy was smooth, not merging."
110,J080905.10+231221.6,dr5/J080/J080905.10+231221.6.png,smooth | cigar-shaped | not merging,"In the image of the galaxy, a smooth, cigar-shaped structure is seen that is not merging."
111,J143856.93+114640.7,dr5/J143/J143856.93+114640.7.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"A galaxy image has features of an edge-on disk with a rounded central bulge, and is not merging."
112,J161014.70+103500.2,dr5/J161/J161014.70+103500.2.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | no bar | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"This galaxy image has features such as two spiral arms with medium spiral winding, small central bulge and no bar, but does not have an edge-on disk; it appears to be merging with minor disturbance."
113,J092036.38+141947.3,dr5/J092/J092036.38+141947.3.png,smooth | round | merging with minor disturbance,"A smooth, round galaxy is merging with only a minor disturbance in its image."
114,J152744.02+053406.5,dr5/J152/J152744.02+053406.5.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | tight spiral winding | loose spiral winding | one spiral arm | small central bulge,"This galaxy image has features such as a weak bar, spiral arms with tight and loose winding, and one spiral arm, but does not have an edge-on disk or indicate any merging, along with a small central bulge."
115,J213832.98+110438.1,dr5/J213/J213832.98+110438.1.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | two spiral arms | moderate central bulge,"A galaxy image features a tight winding of two spiral arms with a moderate central bulge, but does not have an edge-on disk or a bar and is not merging."
116,J120830.84-021956.4,dr5/J120/J120830.84-021956.4.png,smooth | round,"The smooth, round galaxy image was breathtaking."
117,J131639.31+215620.6,dr5/J131/J131639.31+215620.6.png,smooth | has features or disk | round | elliptical | not merging,"The galaxy image is smooth and has features of a round or elliptical disk, but not merging."
118,J021509.52+005031.7,dr5/J021/J021509.52+005031.7.png,smooth | round | not merging,"The galaxy image showed a smooth and round shape, not merging with any others."
119,J144619.57+322700.2,dr5/J144/J144619.57+322700.2.png,smooth | elliptical | merging with major disturbance,The smooth elliptical galaxy was captured in an image merging with a major disturbance.
120,J131254.14+124328.9,dr5/J131/J131254.14+124328.9.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy has an edge-on disk, not merging, and a rounded central bulge; the image has features that suggest it is a spiral disk."
121,J162947.79+132333.7,dr5/J162/J162947.79+132333.7.png,smooth | cigar-shaped | merging with minor disturbance,"The smooth, cigar-shaped galaxy was captured in an image merging with only minor disturbance."
122,J153109.32+071333.9,dr5/J153/J153109.32+071333.9.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
123,J140724.96+022645.9,dr5/J140/J140724.96+022645.9.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | moderate central bulge,"This galaxy has features of a tight winding spiral with no bar and moderate central bulge, and the image does not suggest it is merging or edge-on, making it a classical spiral galaxy."
124,J104316.33+011237.1,dr5/J104/J104316.33+011237.1.png,has features or disk | has an edge-on disk | rounded central bulge,This image of a galaxy has features like an edge-on disk and rounded central bulge.
125,J152047.39+075655.9,dr5/J152/J152047.39+075655.9.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy image has features of a disk that has an edge-on view and is not merging, with a rounded central bulge."
126,J125226.15+035646.4,dr5/J125/J125226.15+035646.4.png,has features or disk | has an edge-on disk | merging,Recent images of the merging galaxy reveal that it has an edge-on disk and several distinct features.
127,J125039.63+045540.3,dr5/J125/J125039.63+045540.3.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | two spiral arms | moderate central bulge,"The galaxy in the image has two tight spiral arms with a moderate central bulge and no bar, but does not have an edge-on disk or any signs of merging."
128,J150848.74+325148.8,dr5/J150/J150848.74+325148.8.png,smooth | elliptical,The smooth elliptical image of a galaxy was mesmerizing.
129,J103129.94+245108.2,dr5/J103/J103129.94+245108.2.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | small central bulge,"This galaxy has tight spiral winding, spiral arms and a small central bulge, but does not have an edge-on disk or a bar, and is not merging with another galaxy, as seen in the image."
130,J004448.59+171939.5,dr5/J004/J004448.59+171939.5.png,smooth | elliptical | not merging,"An elliptical galaxy in an image appears smooth, not merging with another."
131,J140255.56+015645.0,dr5/J140/J140255.56+015645.0.png,smooth | round | not merging,"The galaxy image was smooth and round, not merging."
132,J135831.27+112306.8,dr5/J135/J135831.27+112306.8.png,has features or disk | does not have an edge-on disk | not merging | weak bar | does not have spiral arms | moderate central bulge,"This galaxy has features of a disk, but does not have an edge-on disk, is not merging, has a weak bar, no spiral arms, and has a moderate central bulge."
133,J101543.78+093759.8,dr5/J101/J101543.78+093759.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | moderate central bulge,"This galaxy has a moderate central bulge and tight spiral winding, however it does not have an edge-on disk or a bar, indicating that it is not merging. Its spiral arms are clearly visible in the image, suggesting that it has features of a spiral galaxy."
134,J112827.30+225535.3,dr5/J112/J112827.30+225535.3.png,smooth | round | not merging,The smooth and round galaxy image was not merging.
135,J010429.21-002626.8,dr5/J010/J010429.21-002626.8.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging with others."
136,J022752.52-011103.6,dr5/J022/J022752.52-011103.6.png,smooth | elliptical | not merging,An image of an elliptical galaxy that is not merging appears smooth.
137,J140455.24+150615.1,dr5/J140/J140455.24+150615.1.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This spiral galaxy image has distinct features such as an edge-on disk, a rounded central bulge, and is not merging, making it distinct from other galaxies."
138,J144712.99+090618.8,dr5/J144/J144712.99+090618.8.png,smooth | elliptical,An elliptical galaxy appears smooth in the image.
139,J153849.81+072230.0,dr5/J153/J153849.81+072230.0.png,smooth | elliptical | not merging,An image of an elliptical galaxy appears smooth and not merging.
140,J093057.09+014951.2,dr5/J093/J093057.09+014951.2.png,smooth | elliptical,An elliptical galaxy appears as a smooth image in deep space.
